metric,species_name,zug,n_pairs_present,n_flagged,pairs_flagged,consistent_outlier
breeder_peak_doy,Emberiza citrinella,Kst,3,0,,FALSE
breeder_peak_doy,Erithacus rubecula,Kst,3,0,,FALSE
breeder_peak_doy,Falco tinnunculus,Kst,3,0,,FALSE
breeder_peak_doy,Fringilla coelebs,Kst,3,0,,FALSE
breeder_peak_doy,Gallinula chloropus,Kst,3,0,,FALSE
breeder_peak_doy,Hirundo rustica,Lst,3,0,,FALSE
breeder_peak_doy,Lanius collurio,Lst,3,0,,FALSE
breeder_peak_doy,Lophophanes cristatus,Kst,3,0,,FALSE
breeder_peak_doy,Lullula arborea,Kst,3,0,,FALSE
breeder_peak_doy,Milvus migrans,Lst,3,0,,FALSE
breeder_peak_doy,Milvus milvus,Kst,3,0,,FALSE
breeder_peak_doy,Parus major,Kst,3,0,,FALSE
breeder_peak_doy,Passer montanus,Kst,3,0,,FALSE
breeder_peak_doy,Periparus ater,Kst,3,0,,FALSE
breeder_peak_doy,Pernis apivorus,Lst,3,0,,FALSE
breeder_peak_doy,Phoenicurus ochruros,Kst,3,0,,FALSE
breeder_peak_doy,Phylloscopus collybita,Kst,3,0,,FALSE
breeder_peak_doy,Phylloscopus sibilatrix,Lst,3,0,,FALSE
breeder_peak_doy,Phylloscopus trochilus,Lst,3,0,,FALSE
breeder_peak_doy,Pica pica,Kst,3,0,,FALSE
breeder_peak_doy,Poecile palustris,Kst,3,0,,FALSE
breeder_peak_doy,Prunella modularis,Kst,3,0,,FALSE
breeder_peak_doy,Pyrrhula pyrrhula,Kst,3,0,,FALSE
breeder_peak_doy,Rallus aquaticus,Kst,3,0,,FALSE
breeder_peak_doy,Serinus serinus,Kst,3,0,,FALSE
breeder_peak_doy,Sitta europaea,Kst,3,0,,FALSE
breeder_peak_doy,Sturnus vulgaris,Kst,3,0,,FALSE
breeder_peak_doy,Turdus merula,Kst,3,0,,FALSE
breeder_peak_doy,Turdus philomelos,Kst,3,0,,FALSE
breeder_peak_doy,Turdus pilaris,Kst,3,0,,FALSE
breeder_peak_doy,Turdus viscivorus,Kst,3,0,,FALSE
breeder_peak_doy,Acrocephalus arundinaceus,Lst,1,0,,FALSE
breeder_peak_doy,Acrocephalus palustris,Lst,1,0,,FALSE
breeder_peak_doy,Actitis hypoleucos,Lst,1,0,,FALSE
breeder_peak_doy,Aegolius funereus,Kst,1,0,,FALSE
breeder_peak_doy,Anser anser,Kst,1,0,,FALSE
breeder_peak_doy,Asio otus,Kst,1,0,,FALSE
breeder_peak_doy,Bubo bubo,Kst,1,0,,FALSE
breeder_peak_doy,Buteo buteo,Kst,1,0,,FALSE
breeder_peak_doy,Certhia brachydactyla,Kst,1,0,,FALSE
breeder_peak_doy,Certhia familiaris,Kst,1,0,,FALSE
breeder_peak_doy,Charadrius dubius,Lst,1,0,,FALSE
breeder_peak_doy,Cinclus cinclus,Kst,1,0,,FALSE
breeder_peak_doy,Coccothraustes coccothraustes,Kst,1,0,,FALSE
breeder_peak_doy,Corvus corone,Kst,1,0,,FALSE
breeder_peak_doy,Crex crex,Lst,1,0,,FALSE
breeder_peak_doy,Cygnus olor,Kst,1,0,,FALSE
breeder_peak_doy,Ficedula hypoleuca,Lst,1,0,,FALSE
breeder_peak_doy,Garrulus glandarius,Kst,1,0,,FALSE
breeder_peak_doy,Hippolais icterina,Lst,1,0,,FALSE
breeder_peak_doy,Lagopus muta,Kst,1,0,,FALSE
breeder_peak_doy,Locustella luscinioides,Lst,1,0,,FALSE
breeder_peak_doy,Motacilla flava,Lst,1,0,,FALSE
breeder_peak_doy,Muscicapa striata,Lst,1,0,,FALSE
breeder_peak_doy,Perdix perdix,NA,1,0,,FALSE
breeder_peak_doy,Picoides tridactylus,Kst,1,0,,FALSE
breeder_peak_doy,Picus viridis,Kst,1,0,,FALSE
breeder_peak_doy,Podiceps cristatus,Kst,1,0,,FALSE
breeder_peak_doy,Poecile montanus,Kst,1,0,,FALSE
breeder_peak_doy,Prunella collaris,Kst,1,0,,FALSE
breeder_peak_doy,Regulus ignicapilla,Kst,1,0,,FALSE
breeder_peak_doy,Regulus regulus,Kst,1,0,,FALSE
breeder_peak_doy,Scolopax rusticola,Kst,1,0,,FALSE
breeder_peak_doy,Streptopelia decaocto,Kst,1,0,,FALSE
breeder_peak_doy,Sylvia atricapilla,Kst,1,0,,FALSE
breeder_peak_doy,Sylvia borin,Lst,1,0,,FALSE
breeder_peak_doy,Tadorna ferruginea,Kst,1,0,,FALSE
breeder_peak_doy,Tetrao urogallus,Kst,1,0,,FALSE
breeder_peak_doy,Troglodytes troglodytes,Kst,1,0,,FALSE
breeder_peak_doy,Upupa epops,Lst,1,0,,FALSE
breeder_peak_doy,Vanellus vanellus,Kst,1,0,,FALSE
migrant_50_doy,Aegithalos caudatus,Kst,3,1,Württemberg 2 vs Bavaria,FALSE
migrant_50_doy,Dryocopus martius,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_50_doy,Falco peregrinus,Kst,3,1,Württemberg 2 vs Swiss,FALSE
migrant_50_doy,Saxicola rubicola,Kst,3,1,Württemberg vs Swiss,FALSE
migrant_50_doy,Turdus viscivorus,Kst,3,1,Württemberg vs Württemberg 2,FALSE
migrant_50_doy,Alauda arvensis,Kst,1,1,Württemberg vs Württemberg 2,FALSE
migrant_50_doy,Anser anser,Kst,1,1,Bavaria vs Swiss,FALSE
migrant_50_doy,Lophophanes cristatus,Kst,1,1,Württemberg vs Bavaria,FALSE
migrant_50_doy,Tadorna ferruginea,Kst,1,1,Bavaria vs Swiss,FALSE
migrant_50_doy,Cuculus canorus,Lst,6,0,,FALSE
migrant_50_doy,Jynx torquilla,Lst,6,0,,FALSE
migrant_50_doy,Locustella naevia,Lst,6,0,,FALSE
migrant_50_doy,Luscinia megarhynchos,Lst,6,0,,FALSE
migrant_50_doy,Saxicola rubetra,Lst,6,0,,FALSE
migrant_50_doy,Accipiter nisus,Kst,3,0,,FALSE
migrant_50_doy,Anas platyrhynchos,Kst,3,0,,FALSE
migrant_50_doy,Anthus pratensis,Kst,3,0,,FALSE
migrant_50_doy,Corvus corax,Kst,3,0,,FALSE
migrant_50_doy,Emberiza schoeniclus,Kst,3,0,,FALSE
migrant_50_doy,Erithacus rubecula,Kst,3,0,,FALSE
migrant_50_doy,Lullula arborea,Kst,3,0,,FALSE
migrant_50_doy,Oriolus oriolus,Lst,3,0,,FALSE
migrant_50_doy,Phoenicurus phoenicurus,Lst,3,0,,FALSE
migrant_50_doy,Phylloscopus trochilus,Lst,3,0,,FALSE
migrant_50_doy,Pica pica,Kst,3,0,,FALSE
migrant_50_doy,Picus canus,Kst,3,0,,FALSE
migrant_50_doy,Prunella modularis,Kst,3,0,,FALSE
migrant_50_doy,Streptopelia turtur,Lst,3,0,,FALSE
migrant_50_doy,Turdus philomelos,Kst,3,0,,FALSE
migrant_50_doy,Turdus pilaris,Kst,3,0,,FALSE
migrant_50_doy,Anthus trivialis,Lst,1,0,,FALSE
migrant_50_doy,Bubo bubo,Kst,1,0,,FALSE
migrant_50_doy,Charadrius dubius,Lst,1,0,,FALSE
migrant_50_doy,Cinclus cinclus,Kst,1,0,,FALSE
migrant_50_doy,Coccothraustes coccothraustes,Kst,1,0,,FALSE
migrant_50_doy,Columba oenas,Kst,1,0,,FALSE
migrant_50_doy,Columba palumbus,Kst,1,0,,FALSE
migrant_50_doy,Emberiza calandra,Kst,1,0,,FALSE
migrant_50_doy,Falco subbuteo,Lst,1,0,,FALSE
migrant_50_doy,Ficedula hypoleuca,Lst,1,0,,FALSE
migrant_50_doy,Garrulus glandarius,Kst,1,0,,FALSE
migrant_50_doy,Hippolais icterina,Lst,1,0,,FALSE
migrant_50_doy,Loxia curvirostra,Kst,1,0,,FALSE
migrant_50_doy,Motacilla alba,Kst,1,0,,FALSE
migrant_50_doy,Motacilla flava,Lst,1,0,,FALSE
migrant_50_doy,Parus major,Kst,1,0,,FALSE
migrant_50_doy,Periparus ater,Kst,1,0,,FALSE
migrant_50_doy,Pernis apivorus,Lst,1,0,,FALSE
migrant_50_doy,Phoenicurus ochruros,Kst,1,0,,FALSE
migrant_50_doy,Phylloscopus sibilatrix,Lst,1,0,,FALSE
migrant_50_doy,Picus viridis,Kst,1,0,,FALSE
migrant_50_doy,Poecile montanus,Kst,1,0,,FALSE
migrant_50_doy,Pyrrhula pyrrhula,Kst,1,0,,FALSE
migrant_50_doy,Rallus aquaticus,Kst,1,0,,FALSE
migrant_50_doy,Scolopax rusticola,Kst,1,0,,FALSE
migrant_50_doy,Serinus serinus,Kst,1,0,,FALSE
migrant_50_doy,Sitta europaea,Kst,1,0,,FALSE
migrant_50_doy,Strix aluco,Kst,1,0,,FALSE
migrant_50_doy,Sturnus vulgaris,Kst,1,0,,FALSE
migrant_50_doy,Upupa epops,Lst,1,0,,FALSE
migrant_50_doy,Vanellus vanellus,Kst,1,0,,FALSE
migrant_peak_doy,Saxicola rubicola,Kst,6,2,Württemberg vs Württemberg 2; Württemberg 2 vs Swiss,FALSE
migrant_peak_doy,Strix aluco,Kst,6,2,Württemberg vs Swiss; Bavaria vs Swiss,FALSE
migrant_peak_doy,Gallinula chloropus,Kst,3,2,Württemberg vs Bavaria; Württemberg 2 vs Bavaria,FALSE
migrant_peak_doy,Lophophanes cristatus,Kst,3,2,Württemberg vs Württemberg 2; Württemberg vs Bavaria,FALSE
migrant_peak_doy,Motacilla alba,Kst,3,2,Württemberg vs Württemberg 2; Württemberg vs Bavaria,FALSE
migrant_peak_doy,Accipiter nisus,Kst,6,1,Württemberg vs Württemberg 2,FALSE
migrant_peak_doy,Alcedo atthis,Kst,6,1,Württemberg 2 vs Swiss,FALSE
migrant_peak_doy,Columba oenas,Kst,6,1,Bavaria vs Swiss,FALSE
migrant_peak_doy,Aegithalos caudatus,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Cyanistes caeruleus,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Dendrocopos major,Kst,3,1,Württemberg vs Württemberg 2,FALSE
migrant_peak_doy,Dryocopus martius,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Motacilla cinerea,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Pica pica,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Poecile palustris,Kst,3,1,Württemberg vs Württemberg 2,FALSE
migrant_peak_doy,Sitta europaea,Kst,3,1,Württemberg vs Bavaria,FALSE
migrant_peak_doy,Sturnus vulgaris,Kst,3,1,Württemberg 2 vs Bavaria,FALSE
migrant_peak_doy,Corvus corone,Kst,1,1,Württemberg 2 vs Bavaria,FALSE
migrant_peak_doy,Fulica atra,Kst,1,1,Württemberg 2 vs Bavaria,FALSE
migrant_peak_doy,Prunella collaris,Kst,1,1,Bavaria vs Swiss,FALSE
migrant_peak_doy,Cuculus canorus,Lst,6,0,,FALSE
migrant_peak_doy,Falco peregrinus,Kst,6,0,,FALSE
migrant_peak_doy,Falco subbuteo,Lst,6,0,,FALSE
migrant_peak_doy,Jynx torquilla,Lst,6,0,,FALSE
migrant_peak_doy,Locustella naevia,Lst,6,0,,FALSE
migrant_peak_doy,Luscinia megarhynchos,Lst,6,0,,FALSE
migrant_peak_doy,Oriolus oriolus,Lst,6,0,,FALSE
migrant_peak_doy,Phoenicurus phoenicurus,Lst,6,0,,FALSE
migrant_peak_doy,Picus canus,Kst,6,0,,FALSE
migrant_peak_doy,Saxicola rubetra,Lst,6,0,,FALSE
migrant_peak_doy,Streptopelia turtur,Lst,6,0,,FALSE
migrant_peak_doy,Alauda arvensis,Kst,3,0,,FALSE
migrant_peak_doy,Anas platyrhynchos,Kst,3,0,,FALSE
migrant_peak_doy,Anthus pratensis,Kst,3,0,,FALSE
migrant_peak_doy,Anthus trivialis,Lst,3,0,,FALSE
migrant_peak_doy,Apus apus,Lst,3,0,,FALSE
migrant_peak_doy,Carduelis carduelis,Kst,3,0,,FALSE
migrant_peak_doy,Columba palumbus,Kst,3,0,,FALSE
migrant_peak_doy,Corvus corax,Kst,3,0,,FALSE
migrant_peak_doy,Coturnix coturnix,Lst,3,0,,FALSE
migrant_peak_doy,Delichon urbicum,Lst,3,0,,FALSE
migrant_peak_doy,Emberiza citrinella,Kst,3,0,,FALSE
migrant_peak_doy,Emberiza schoeniclus,Kst,3,0,,FALSE
migrant_peak_doy,Erithacus rubecula,Kst,3,0,,FALSE
migrant_peak_doy,Falco tinnunculus,Kst,3,0,,FALSE
migrant_peak_doy,Fringilla coelebs,Kst,3,0,,FALSE
migrant_peak_doy,Hirundo rustica,Lst,3,0,,FALSE
migrant_peak_doy,Lanius collurio,Lst,3,0,,FALSE
migrant_peak_doy,Loxia curvirostra,Kst,3,0,,FALSE
migrant_peak_doy,Lullula arborea,Kst,3,0,,FALSE
migrant_peak_doy,Milvus migrans,Lst,3,0,,FALSE
migrant_peak_doy,Milvus milvus,Kst,3,0,,FALSE
migrant_peak_doy,Parus major,Kst,3,0,,FALSE
migrant_peak_doy,Passer domesticus,Kst,3,0,,FALSE
migrant_peak_doy,Passer montanus,Kst,3,0,,FALSE
migrant_peak_doy,Periparus ater,Kst,3,0,,FALSE
migrant_peak_doy,Pernis apivorus,Lst,3,0,,FALSE
migrant_peak_doy,Phoenicurus ochruros,Kst,3,0,,FALSE
migrant_peak_doy,Phylloscopus collybita,Kst,3,0,,FALSE
migrant_peak_doy,Phylloscopus sibilatrix,Lst,3,0,,FALSE
migrant_peak_doy,Phylloscopus trochilus,Lst,3,0,,FALSE
migrant_peak_doy,Prunella modularis,Kst,3,0,,FALSE
migrant_peak_doy,Pyrrhula pyrrhula,Kst,3,0,,FALSE
migrant_peak_doy,Rallus aquaticus,Kst,3,0,,FALSE
migrant_peak_doy,Serinus serinus,Kst,3,0,,FALSE
migrant_peak_doy,Turdus merula,Kst,3,0,,FALSE
migrant_peak_doy,Turdus philomelos,Kst,3,0,,FALSE
migrant_peak_doy,Turdus pilaris,Kst,3,0,,FALSE
migrant_peak_doy,Turdus viscivorus,Kst,3,0,,FALSE
migrant_peak_doy,Acrocephalus arundinaceus,Lst,1,0,,FALSE
migrant_peak_doy,Acrocephalus palustris,Lst,1,0,,FALSE
migrant_peak_doy,Actitis hypoleucos,Lst,1,0,,FALSE
migrant_peak_doy,Anser anser,Kst,1,0,,FALSE
migrant_peak_doy,Bubo bubo,Kst,1,0,,FALSE
migrant_peak_doy,Buteo buteo,Kst,1,0,,FALSE
migrant_peak_doy,Carpodacus erythrinus,Lst,1,0,,FALSE
migrant_peak_doy,Certhia brachydactyla,Kst,1,0,,FALSE
migrant_peak_doy,Certhia familiaris,Kst,1,0,,FALSE
migrant_peak_doy,Charadrius dubius,Lst,1,0,,FALSE
migrant_peak_doy,Cinclus cinclus,Kst,1,0,,FALSE
migrant_peak_doy,Coccothraustes coccothraustes,Kst,1,0,,FALSE
migrant_peak_doy,Cygnus olor,Kst,1,0,,FALSE
migrant_peak_doy,Emberiza calandra,Kst,1,0,,FALSE
migrant_peak_doy,Ficedula hypoleuca,Lst,1,0,,FALSE
migrant_peak_doy,Garrulus glandarius,Kst,1,0,,FALSE
migrant_peak_doy,Hippolais icterina,Lst,1,0,,FALSE
migrant_peak_doy,Locustella luscinioides,Lst,1,0,,FALSE
migrant_peak_doy,Merops apiaster,Lst,1,0,,FALSE
migrant_peak_doy,Motacilla flava,Lst,1,0,,FALSE
migrant_peak_doy,Muscicapa striata,Lst,1,0,,FALSE
migrant_peak_doy,Perdix perdix,NA,1,0,,FALSE
migrant_peak_doy,Picoides tridactylus,Kst,1,0,,FALSE
migrant_peak_doy,Picus viridis,Kst,1,0,,FALSE
migrant_peak_doy,Podiceps cristatus,Kst,1,0,,FALSE
migrant_peak_doy,Poecile montanus,Kst,1,0,,FALSE
migrant_peak_doy,Regulus ignicapilla,Kst,1,0,,FALSE
migrant_peak_doy,Regulus regulus,Kst,1,0,,FALSE
migrant_peak_doy,Scolopax rusticola,Kst,1,0,,FALSE
migrant_peak_doy,Sterna hirundo,Lst,1,0,,FALSE
migrant_peak_doy,Streptopelia decaocto,Kst,1,0,,FALSE
migrant_peak_doy,Sylvia atricapilla,Kst,1,0,,FALSE
migrant_peak_doy,Sylvia borin,Lst,1,0,,FALSE
migrant_peak_doy,Tadorna ferruginea,Kst,1,0,,FALSE
migrant_peak_doy,Tetrao urogallus,Kst,1,0,,FALSE
migrant_peak_doy,Troglodytes troglodytes,Kst,1,0,,FALSE
migrant_peak_doy,Upupa epops,Lst,1,0,,FALSE
migrant_peak_doy,Vanellus vanellus,Kst,1,0,,FALSE
